incident_id,date,location,category,sub_category,target_community,description,article_url,year,orig_sheet_name,orig_row_num
32,2018-02-22,Winnipeg,C,race relations/murder,anti-indigenous,Raymond Cormier found not guilty in death of Tina Fontaine,https://www.thestar.com/news/canada/2018/02/22/deliberations-continue-in-murder-trial-for-raymond-cormier-accused-of-killing-of-tina-fontaine.html,2018.0,2018 collection,34
33,2018-02-26,Toronto,NC,race relations,anti-racism,How anti-racism town hall gave hate-mongers an outsized place at the table,https://www.thestar.com/opinion/star-columnists/2018/02/26/how-anti-racism-town-hall-gave-hate-mongers-an-outsized-place-at-the-table.html,2018.0,2018 collection,35
34,2019-02-28,Thunder Bay,C,hate crime,anti-indigenous,Thunder Bay police investigate alleged racial violence after eggs thrown at pedestrians,https://www.cbc.ca/news/canada/thunder-bay/thunder-bay-egg-throwing-investigation-1.4555840,2019.0,2018 collection,36
35,2018-03-02,Thunder Bay,NC,race relations,anti-indigenous,Thunder Bay newspaper apologizes for 'inconsiderate' headline on story about egg attacks on 2 men,https://www.cbc.ca/news/canada/thunder-bay/national-assembly-apology-request-1.4557947,2018.0,2018 collection,37
36,2018-03-06,Toronto,NC,race relations,anti-asian,Toronto nightclub accused of racism for 'Stir Fry' event,http://torontosun.com/news/local-news/toronto-nightclub-accused-of-racism-for-stir-fry-event,2018.0,2018 collection,38
37,2018-03-08,BC,NC,race relations,anti-racism,Got privilege?' B.C. school district under fire after launching anti-racism campaign,http://www.cbc.ca/news/canada/british-columbia/racism-campaign-school-district-74-1.4566779,2018.0,2018 collection,39
38,2018-03-07,Nova Scotia,NC,race relations,anti-black,"Often called the N-word at school, this Nova Scotia student seeks to rid classroom of racism",http://www.cbc.ca/news/canada/nova-scotia/racism-school-black-students-name-calling-education-diversity-1.4564057,2018.0,2018 collection,40
39,2019-03-08,Ottawa,Human Rights Complaint,race relations,,"Air Canada’s Flight Attendant Union Files Human RIghts Complaint, alleging sexual, racial discrimination",https://www.cbc.ca/news/business/air-canada-human-rights-complaint-attendants-1.4568517,2019.0,2018 collection,41
40,2018-03-07,Ottawa,Appeal Court decision,race relations,anti-indigenous,Crown says it won’t appeal acquittal in Saskatchewan shooting of Colten Boushie,https://www.thestar.com/news/canada/2018/03/07/crown-says-it-wont-appeal-acquittal-in-saskatchewan-shooting-of-colten-boushie.html,2018.0,2018 collection,42
41,2018-03-07,Nova Scotia,C,vandalism,anti-indigenous,"First Nations students to stay home after racist graffiti, threats against school",http://www.cbc.ca/news/canada/nova-scotia/antigonish-school-graffiti-1.4565502,2018.0,2018 collection,43
42,2018-03-03,Thunder Bay,NC,race relations,anti-indigenous,Ontario paper apologizes after AFN calls headline on egg attacks ‘insensitive’,https://www.reddeeradvocate.com/news/ontario-paper-apologizes-after-afn-calls-headline-on-egg-attacks-insensitive/,2018.0,2018 collection,44
43,2018-03-02,Kelowna,NC,race relations,anti-indigenous,B.C. school assignment deemed racist on social media,https://www.saobserver.net/news/b-c-school-assignment-deemed-racist-on-social-media/,2018.0,2018 collection,45
44,2018-03-01,Kamloops,NC,race relations,anti-black,Racism crosses the line': Hockey mom raises alarm after son called N-word on ice,http://www.cbc.ca/news/canada/british-columbia/minor-hockey-racism-1.4558136,2018.0,2018 collection,46
45,2018-03-02,Toronto,Allegations against police,race relations,anti-black,WARMINGTON: Two sides to traffic stop of TV host Marci Ien,http://torontosun.com/news/local-news/warmington-two-sides-to-traffic-stop-of-tv-host-marci-ien,2018.0,2018 collection,47
46,2018-03-13,Winnipeg,NC,race relations,anti-indigenous,Indigenous mom of 2 says racist taunts aimed at her family during kids' 1st trip to Winnipeg,http://www.cbc.ca/news/canada/manitoba/mom-speaks-out-says-racist-kids-bullied-family-1.4571816?cmp=rss,2018.0,2018 collection,48
47,2018-03-24,Toronto,Human Rights Case,race relations,anti-black,"Black janitors allege racial discrimination, plan to file human rights complaint",https://www.thestar.com/news/canada/2018/03/23/black-janitors-allege-racial-discrimination-plan-to-file-human-rights-complaint.html,2018.0,2018 collection,49
48,2018-03-24,Ottawa,NC,race relations,anti-sikh,WSO’s open letter to Postmedia CEO Paul Godfrey on coverage of Sikh Canadians,http://www.voiceonline.com/wsos-open-letter-to-postmedia-ceo-paul-godfrey-on-coverage-of-sikh-canadians/,2018.0,2018 collection,50
49,2018-03-22,Vaughan GTA,Police investigation,vandalism,anti-semitism,Police search for suspect after Vaughan synagogue doors smashed in 'hate-motivated' crime,http://www.cbc.ca/news/canada/toronto/rock-smashed-vaughan-synagogue-hate-1.4587969,2018.0,2018 collection,51
50,2018-03-13,PEI,NC,race relations,anti-indigenous,Mi'kmaq elder wants apology from MP over comments made in recent meeting,http://www.cbc.ca/news/canada/prince-edward-island/pei-john-joe-sark-wayne-easter-amherst-1.4574422,2018.0,2018 collection,52
51,2018-03-11,Regina,NC,race relations,anti-racism,Sask. professor receives threats over upcoming talk on 'whiteness' at Ontario university,http://www.cbc.ca/news/canada/saskatchewan/sask-professor-threats-whiteness-talk-1.4571723,2018.0,2018 collection,53
52,2018-03-03,Ottawa,Human Rights Tribunal of Ontario,race relations,anti-asian,Ottawa police officer alleges racial discrimination,http://www.cbc.ca/news/canada/ottawa/khoa-hoang-racial-discrimination-complaint-ottawa-police-1.4602578,2018.0,2018 collection,54
53,2018-03-27,Ottawa,Police investigation,hate crime,anti-sikh,"Man's turban torn off in weekend attack, police say",https://www.cbc.ca/news/canada/ottawa/man-assaulted-turban-stolen-westgate-mall-1.4594895,2018.0,2018 collection,55
54,2018-04-02,Halifax,NC,vandalism/hate crime,anti-christian,Canadian churches vandalized on Easter Sunday,http://www.worldbulletin.net/america-canada/200581/canadian-churches-vandalized-on-easter-sunday,2018.0,2018 collection,56
55,2018-03-31,Gatineau,Police investigation,vandalism/hate crime,anti-semitism,Gatineau police investigate racist graffiti scrawled on bus shelter,http://www.cbc.ca/news/canada/ottawa/racist-graffiti-gatineau-bus-shelter-swastika-1.4601290,2018.0,2018 collection,57
56,2018-03-28,Ottawa,NC,race relations,anti-black,"Conservative Canadian media attack Black woman politician, accuse her of being racist","https://thegrio.com/2018/03/29/black-woman-politician-canada-racist/
https://www.huffingtonpost.ca/2018/03/27/celina-caesar-chavannes-supporters-share-appreciation-for-mp-with-hereforcelina_a_23397067/",2018.0,2018 collection,58
57,2018-03-27,Yukon,NC,race relations,anti-indigenous,Government casting ad requesting 'Caucasian' actors deemed racist by some Yukoners,http://www.cbc.ca/news/canada/north/tourism-ad-casting-call-racist-yukon-1.4595987,2018.0,2018 collection,59
58,2018-03-26,Mississauga,Police investigation,hate crime,anti-muslim,Police Called to Investigate Potential Hate-Fuelled Incident in Mississauga,https://www.insauga.com/police-called-to-investigate-potential-hate-fuelled-incident-in-mississauga,2018.0,2018 collection,60
59,2018-02-26,Halifax,Human Rights complaint,race relations,anti-black,Black Janitors Were Fired For Complaining About Alleged Racism: Union,https://www.huffingtonpost.ca/2018/03/26/black-janitors-fired-racism-human-rights-complaint_a_23395862/,2018.0,2018 collection,61
60,2018-04-05,Edmonton,Investigation,race relations,anti-indigenous,"Letter to 'Treaty Indian' a data-entry error, Alberta Health Services says",http://www.cbc.ca/news/canada/edmonton/alberta-health-services-treaty-indian-letter-edmonton-1.4606328,2018.0,2018 collection,62
61,2018-04-11,Thunder Bay,NC,race relations,anti-indigenous,Celebrated Indigenous law school dean resigns claiming systemic racism,https://www.thestar.com/news/canada/2018/04/11/celebrated-indigenous-law-school-dean-resigns-claiming-systemic-racism.html,2018.0,2018 collection,63
62,2018-04-11,Ontario,NDP employee says Hamilton MPP bullied him and made racist comments,race relations,anti-black,NDP employee says Hamilton MPP bullied him and made racist comments,http://www.cbc.ca/news/canada/hamilton/ndp-miller-allegations-1.4615621,2018.0,2018 collection,64
63,2018-04-10,Toronto,NC,race relations,anti-muslim,"Tanya Granic Allen under fire for online comments against gay marriage, Muslim dress",http://www.cbc.ca/news/canada/toronto/tanya-granic-allen-under-fire-for-online-comments-against-gay-marriage-muslim-dress-1.4613483,2018.0,2018 collection,65
64,2018-04-10,"Owen Sound, Ontario",Police investigation,hate crime/vandalism,not specified,Police Probe Racist Graffiti.,http://www.bayshorebroadcasting.ca/news_item.php?NewsID=100856,2018.0,2018 collection,66
65,2018-04-06,Calgary,C,hate crime (assault),anti-sikh,"Alleged assault of 89-year-old Sikh was hate crime, says Calgary MP",http://www.cbc.ca/news/canada/calgary/sikh-assault-calgary-obhrai-1.4608993,2018.0,2018 collection,67
66,2018-04-09,Ottawa,NC,race relations,anti-muslim,Iranians accuse Ottawa of discrimination as permanent-residency applications face delays,https://www.theglobeandmail.com/politics/article-iranians-accuse-ottawa-of-discrimination-as-permanent-residency/,2018.0,2018 collection,68
67,2018-04-18,Halifax,NC,race relations,anti-black,Nova Scotia Tory MLA apologizes for comments slammed as ‘racist and insensitive’,https://www.thestar.com/news/canada/2018/04/18/nova-scotia-tory-mla-apologizes-for-comments-slammed-as-racist-and-insensitive.html,2018.0,2018 collection,69
68,2018-04-19,Windsor,Human Rights Tribunal of Ontario,race relations,"anti-muslim, anti-indian","Racism, harassment rampant at South West Detention Centre, allege former correctional officers",http://www.cbc.ca/news/canada/windsor/south-west-detention-centre-racism-harassment-correctional-officers-1.4623070,2018.0,2018 collection,70
69,2018-04-18,Winnipeg,NC,race relations,anti-asian,"This cannot be happening in Canada': man whose dash-cam captured technicians mocking his Chinese name
Car owner ups",https://winnipeg.ctvnews.ca/this-cannot-be-happening-in-canada-man-whose-dash-cam-captured-technicians-mocking-his-chinese-name-1.3891342,2018.0,2018 collection,71
70,2018-04-18,Winnipeg,NC,race relations,anti-muslim,Winnipeg delivery driver confronts customer he says called him a terrorist during verbal attack,http://www.cbc.ca/news/canada/manitoba/winnipeg-delivery-driver-confronts-customer-he-says-called-him-a-terrorist-during-verbal-attack-1.4623747,2018.0,2018 collection,72
71,2018-04-17,Halifax,NC,race relations,anti-black,"Goalie who was victim of racial slur gets support from NHL player, government",http://www.cbc.ca/news/canada/nova-scotia/goalie-who-was-victim-of-racial-slur-gets-lots-of-support-1.4622793,2018.0,2018 collection,73
72,2018-04-16,Edmonton,Disciplinary hearing/lawsuit,race relations,anti-muslim,Edmonton police Const. Nathan Downing faces allegations at an upcoming disciplinary hearing of repeatedly punching a handcuffed man in the face and shouting racial slurs at him.,http://www.cbc.ca/news/canada/edmonton/edmonton-police-officer-faces-disciplinary-hearing-over-allegations-of-racism-punching-suspect-1.4620988,2018.0,2018 collection,74
73,2018-04-14,Ottawa,NC,race relations,anti-racism,"Harjit Sajjan orders crackdown as Canadian Forces Facebook page features racist, vulgar comments",http://nationalpost.com/news/politics/harjit-sajjan-orders-crackdown-as-canadian-forces-facebook-page-features-racist-vulgar-comments,2018.0,2018 collection,75
74,2018-04-14,Calgary,NC,race relations,"anti-racism, anti-immigration",Dozens of people take part in rally on steps of Calgary City Hall,https://calgary.ctvnews.ca/dozens-of-people-take-part-in-rally-on-steps-of-calgary-city-hall-1.3885445,2018.0,2018 collection,76
75,2018-04-22,Montreal,Human Rights complaint,race relations,anti-black,"Montreal couple preparing human-rights complaint, alleging racial profiling in noise incident",https://www.theglobeandmail.com/canada/article-montreal-couple-preparing-human-rights-complaint-alleging-racial/,2018.0,2018 collection,77
76,2018-04-28,Ottawa,NC,race relations,anti-indigenous,"OMA decision about privilege and racism
Doctors reject the chance to show respect for Indigenous culture, Dr. Nel Wieman writes",https://www.thespec.com/opinion-story/8593347-oma-decision-about-privilege-and-racism/,2018.0,2018 collection,78
77,2018-05-04,Halifax,NC,race relations,anti-black,"A Black woman from Edmonton, Canada, is blaming systemic racism for the way she was forced off of a flight for having a noncontagious illness",https://www.bet.com/news/national/2018/05/04/black-woman-humiliated-after-air-canada-kicked-her-off-flight-fo.html,2018.0,2018 collection,79
78,2018-05-04,Ottawa,NC,race relations,anti-racism,Starbucks Canada to close corporate stores for a few hours on June 11 for inclusiveness training,http://business.financialpost.com/news/retail-marketing/starbucks-canada-to-provide-inclusiveness-training-for-corporate-stores-offices,2018.0,2018 collection,80
79,2018-05-02,Ottawa,NC,race relations,anti-indigenous,First Nations chiefs want UN to examine racism in Canada’s justice system,https://www.theglobeandmail.com/politics/article-first-nations-chiefs-want-un-to-examine-racism-in-canadas-justice/,2018.0,2018 collection,81
80,2018-04-29,Saskatoon,NC,race relations,anti-indigenous,U.S. comedy duo apologizes for joke criticized as racist at Humboldt Broncos tribute concert,https://www.theglobeandmail.com/canada/article-comedy-duo-apologizes-for-joke-criticized-as-racist-at-humboldt/,2018.0,2018 collection,82
81,2018-04-29,Ottawa,C,hate crime/vandalism,"anti-semitic, anti-black",Three teens charged after racist graffiti found in Ottawa neighborhood,https://www.ctvnews.ca/canada/three-teens-charged-after-racist-graffiti-found-in-ottawa-neighborhood-1.3907655,2018.0,2018 collection,83
82,2018-04-28,Nova Scotia,NC,race relations,anti-black,Conservative Party member worries weed will make Canadians as unproductive as ‘Jamaica’ later issues apology stating she is not as knowledgeable about racism as she should be.,https://herb.co/marijuana/news/smith-mccrossin-jamaica-nova-scotia-cannabis,2018.0,2018 collection,84
83,2018-04-21,Montreal,Complaint Police Ethics Board/Quebec Human Rights Commission,race relations,anti-black,"Montreal couple ticketed $888 for 'excessive noise,' accuses Montreal police of racial profiling",http://www.cbc.ca/news/canada/montreal/black-woman-given-444-ticket-for-excessive-noise-accuses-montreal-police-of-racial-profiling-1.4630259,2018.0,2018 collection,85
84,2018-04-22,Montreal,C,race relations,anti-muslim,Judge awards $50K to couple who suffered 'extreme' racial harassment from neighbour,http://www.cbc.ca/news/canada/montreal/judge-awards-50k-to-couple-who-suffered-extreme-racial-harassment-from-neighbour-1.4630511,2018.0,2018 collection,86
85,2018-04-20,Ontario,NC,race relations,anti-racism,Why Does Ontario Anti-Racism Subcommittee Include Individuals Tied to Racist Organization?,http://www.palestinechronicle.com/ontario-anti-racism-subcommittee-include-individuals-tied-racist-organization/,2018.0,2018 collection,87
86,2018-05-04,Lethbridge,NC,hate speech,anti-immigration,Watch These Men Calmly Respond to Woman’s Racist Tirade at an Alberta Denny’s,https://www.vice.com/en_ca/article/nekjyq/watch-these-men-calmly-respond-to-womans-racist-tirade-at-an-alberta-dennys,2018.0,2018 collection,88
87,2018-05-17,Ottawa,NC,race relations,anti-black,Canada's top-ranked female tennis player blames racism for relative obscurity,https://www.ctvnews.ca/sports/canada-s-top-ranked-female-tennis-player-blames-racism-for-relative-obscurity-1.3934928,2018.0,2018 collection,89
88,2018-05-18,"Lacolle, QC",C,race relations,anti-racism,Police put buffer between duelling protests at Lacolle border crossing,http://montrealgazette.com/news/local-news/far-right-and-anti-racist-groups-prepare-to-face-off-at-lacolle-border-crossing,2018.0,2018 collection,90
89,2018-05-14,Winnipeg,NC,race relations,anti-black,Winnipeg Rifles president resigns over P.K. Subban post,http://www.cbc.ca/news/canada/manitoba/winnipeg-rifles-todd-wilson-1.4662254,2018.0,2018 collection,91
90,2018-05-16,Montreal,NC,race relations,anti-semitic,No criminal charges against man who waved Nazi flag in Montreal: police,https://www.ctvnews.ca/canada/no-criminal-charges-against-man-who-waved-nazi-flag-in-montreal-police-1.3931895,2018.0,2018 collection,92
91,2018-05-16,Ottawa,NC,race relations,anti-racism,New Canadian anti-hate network looks to co-ordinate efforts against far-right extremism,https://www.thestar.com/opinion/star-columnists/2018/05/15/new-canadian-anti-hate-network-looks-to-co-ordinate-efforts-against-far-right-extremism.html,2018.0,2018 collection,93
92,2018-05-14,Toronto,NC,race relations,"white supremacy, anti-racism",White Privilege Conference held on Ryerson campus incites protests,https://theeyeopener.com/2018/05/white-privilege-conference-held-on-ryerson-campus-incites-protests/,2018.0,2018 collection,94
93,2018-05-09,"Enderby, BC",NC,race relations,anti-indigenous,"It's racist, it's graffiti but here's why the Enderby incident is likely not a crime",https://infotel.ca/newsitem/its-racist-its-graffiti-but-heres-why-the-enderby-incident-is-likely-not-a-crime/it52486,2018.0,2018 collection,95
94,2018-06-01,Montreal,NC,race relations,anti-indigenous,"Racist slurs at minor hockey tournament in Quebec City symptom of widespread problem
Social Sharing",http://www.cbc.ca/news/canada/montreal/racist-slurs-at-minor-hockey-tournament-in-quebec-city-symptom-of-widespread-problem-1.4687852,2018.0,2018 collection,96
95,2018-05-29,Toronto,NC,race relations,anti-semitic,School and city officials are condemning whoever plastered neo-Nazi posters throughout a park in the St. Clair West area.,http://www.cbc.ca/news/canada/toronto/neo-nazis-anti-semitic-posters-1.4682529,2018.0,2018 collection,97
96,2018-05-23,Toronto,C,hate crime,anti-muslim,Racists Spray-Paint 'F-ck You Muslims' on School,https://www.telesurtv.net/english/news/Canada-Racists-Spray-Paint-Fuck-You-Muslims-on-School--20180523-0001.html,2018.0,2018 collection,98
97,2018-05-28,Montreal,NC,race relations,anti-muslim,Officer-cadet from Royal Military College Saint-Jean to be expelled for defiling Qur'an,http://www.cbc.ca/news/canada/montreal/officer-cadet-from-royal-military-college-saint-jean-to-be-expelled-for-defiling-qur-an-1.4678092,2018.0,2018 collection,99
98,2018-05-09,Toronto,NC,race relations,anti-black,Police Escort Black Hockey Player to a Playoff Game After Threats,https://www.nytimes.com/2018/05/09/sports/hockey/givani-smith-police-escort-ohl.htm,2018.0,2018 collection,100
99,2018-05-10,Saskatoon,NC,race relations,anti-indigenous,I feel like I don't deserve a job': Job-seeking First Nations student says she experiences subtle racism,http://www.cbc.ca/news/canada/saskatoon/first-nations-student-subtle-racism-1.4656278,2018.0,2018 collection,101
100,2018-05-08,Halifax,NC,race relations,anti-black,African-Nova Scotians employed by the Halifax Regional Municipality say they deal with racial discrimination on the job and are consistently passed over for promotions.,http://www.cbc.ca/news/canada/nova-scotia/hrm-racism-black-african-nova-scotian-1.4653542,2018.0,2018 collection,102
101,2018-05-21,Ottawa,NC,race relations,anti-black,"Caesar-Chavannes, the Liberal MP for Whitby, believes ""the world revolves around"" her ""skin colour."" That was in response to Caesar-Chavannes chiding him in an interview with the Globe and Mail.",http://www.cbc.ca/news/politics/caesar-chavannes-bernier-identity-1.4681187,2018.0,2018 collection,103
102,2018-05-23,Bridge River Lillooet,NC,race relations,anti-racism,Gold Trail issues statement on anti-racist poster campaign,http://www.lillooetnews.net/news/local-news/gold-trail-issues-statement-on-anti-racist-poster-campaign-1.23311427,2018.0,2018 collection,104
103,2018-05-30,Calgary,NC,race relations,anti-indigenous,Indigenous family devastated after son’s braid cut by schoolmate in Calgary,https://globalnews.ca/news/4243508/calgary-indigenous-boy-braids-hair-school/?utm_source=%40globalnews&utm_medium=Twitter,2018.0,2018 collection,105
104,2018-06-12,Ottawa,NC,race relations,anti-racism,Starbucks racial bias training shouldn’t be one-size-fits-all,https://www.thestar.com/opinion/star-columnists/2018/06/12/starbucks-racial-bias-training-shouldnt-be-one-size-fits-all.html,2018.0,2018 collection,106
105,2018-06-07,"Peel, ON",Internal investigation,race relations,anti-black,Ontario Teacher Under Investigation For Mocking Black Child's Hair In Instagram Post,https://www.huffingtonpost.ca/2018/06/07/ontario-teacher-under-investigation-for-mocking-black-childs-hair-in-instagram-post_a_23453739/,2018.0,2018 collection,107
106,2018-06-05,St. John's,Police complaint,race relations,anti-black,A woman in St. John's says a man she met on a dating app bombarded her with racist and sexually aggressive comments after she refused to answer his phone call.,http://www.cbc.ca/news/canada/newfoundland-labrador/racism-dating-site-post-1.4691830,2018.0,2018 collection,108
107,2018-06-02,Fredericton,Open investigation,vandalism,anti-semitic,My heart sank': Downtown Fredericton cafe vandalized with racist graffiti,http://www.cbc.ca/news/canada/new-brunswick/racist-graffiti-downtown-fredericton-cafe-1.4689396,2018.0,2018 collection,109
108,2018-06-21,Quebec,NC,race relations,anti-indigenous,Quebec Health Minister Gaétan Barrette says comments on 'drugged' medevac passengers were 'misinterpreted',https://www.cbc.ca/news/canada/montreal/barrette-indigenous-remarks-misinterpreted-1.4715907,2018.0,2018 collection,110
