type,name,population_centre_size_group,population_centre_type,province,prov_code,location_label,geocode_query,population_2016
Population centre,Fort McMurray,"Medium population centre (30,000 to 99,999)",Core,Alberta,AB,"Fort McMurray, AB","Fort McMurray, AB, Canada",66573
Population centre,Fort Saskatchewan,"Small population centre (1,000 to 29,999)",Fringe,Alberta,AB,"Fort Saskatchewan, AB","Fort Saskatchewan, AB, Canada",23895
Population centre,Fox Creek,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Fox Creek, AB","Fox Creek, AB, Canada",1720
Population centre,Gibbons,"Small population centre (1,000 to 29,999)",Fringe,Alberta,AB,"Gibbons, AB","Gibbons, AB, Canada",2661
Population centre,Grand Centre,"Small population centre (1,000 to 29,999)",Core,Alberta,AB,"Grand Centre, AB","Grand Centre, AB, Canada",7256
Population centre,Grande Cache,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Grande Cache, AB","Grande Cache, AB, Canada",3286
Population centre,Grande Prairie,"Medium population centre (30,000 to 99,999)",Core,Alberta,AB,"Grande Prairie, AB","Grande Prairie, AB, Canada",62320
Population centre,Grimshaw,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Grimshaw, AB","Grimshaw, AB, Canada",2599
Population centre,Hanna,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Hanna, AB","Hanna, AB, Canada",2332
Population centre,Heritage Pointe,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Heritage Pointe, AB","Heritage Pointe, AB, Canada",2075
Population centre,High Level,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"High Level, AB","High Level, AB, Canada",2741
Population centre,High Prairie,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"High Prairie, AB","High Prairie, AB, Canada",2264
Population centre,High River,"Small population centre (1,000 to 29,999)",Core,Alberta,AB,"High River, AB","High River, AB, Canada",13420
Population centre,Hinton,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Hinton, AB","Hinton, AB, Canada",9205
Population centre,Innisfail,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Innisfail, AB","Innisfail, AB, Canada",6927
Population centre,Irricana,"Small population centre (1,000 to 29,999)",Fringe,Alberta,AB,"Irricana, AB","Irricana, AB, Canada",1160
Population centre,Jasper,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Jasper, AB","Jasper, AB, Canada",3948
Population centre,La Crète,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"La Crète, AB","La Crète, AB, Canada",1860
Population centre,Lac la Biche,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Lac la Biche, AB","Lac la Biche, AB, Canada",2294
Population centre,Lacombe,"Small population centre (1,000 to 29,999)",Core,Alberta,AB,"Lacombe, AB","Lacombe, AB, Canada",12442
Population centre,Lamont,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Lamont, AB","Lamont, AB, Canada",1347
Population centre,Lancaster Park,"Small population centre (1,000 to 29,999)",Fringe,Alberta,AB,"Lancaster Park, AB","Lancaster Park, AB, Canada",1501
Population centre,Langdon,"Small population centre (1,000 to 29,999)",Fringe,Alberta,AB,"Langdon, AB","Langdon, AB, Canada",5060
Population centre,Leduc,"Small population centre (1,000 to 29,999)",Secondary core,Alberta,AB,"Leduc, AB","Leduc, AB, Canada",29556
Population centre,Legal,"Small population centre (1,000 to 29,999)",Fringe,Alberta,AB,"Legal, AB","Legal, AB, Canada",1135
Population centre,Lethbridge,"Medium population centre (30,000 to 99,999)",Core,Alberta,AB,"Lethbridge, AB","Lethbridge, AB, Canada",87572
Population centre,Lloydminster (Alberta part),,,Alberta,AB,"Lloydminster (Alberta part), AB","Lloydminster (Alberta part), AB, Canada",19645
Population centre,Magrath,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Magrath, AB","Magrath, AB, Canada",2179
Population centre,Manning,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Manning, AB","Manning, AB, Canada",1072
Population centre,Mayerthorpe,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Mayerthorpe, AB","Mayerthorpe, AB, Canada",1205
Population centre,Medicine Hat,"Medium population centre (30,000 to 99,999)",Core,Alberta,AB,"Medicine Hat, AB","Medicine Hat, AB, Canada",62935
Population centre,Millet,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Millet, AB","Millet, AB, Canada",1905
Population centre,Morinville,"Small population centre (1,000 to 29,999)",Fringe,Alberta,AB,"Morinville, AB","Morinville, AB, Canada",9848
Population centre,Nanton,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Nanton, AB","Nanton, AB, Canada",1965
Population centre,Nobleford,"Small population centre (1,000 to 29,999)",Fringe,Alberta,AB,"Nobleford, AB","Nobleford, AB, Canada",1278
Population centre,Okotoks,"Small population centre (1,000 to 29,999)",Core,Alberta,AB,"Okotoks, AB","Okotoks, AB, Canada",28833
Population centre,Olds,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Olds, AB","Olds, AB, Canada",8944
Population centre,Peace River,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Peace River, AB","Peace River, AB, Canada",3924
Population centre,Penhold,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Penhold, AB","Penhold, AB, Canada",3165
Population centre,Picture Butte,"Small population centre (1,000 to 29,999)",Fringe,Alberta,AB,"Picture Butte, AB","Picture Butte, AB, Canada",1700
Population centre,Pincher Creek,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Pincher Creek, AB","Pincher Creek, AB, Canada",3523
Population centre,Ponoka,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Ponoka, AB","Ponoka, AB, Canada",6899
Population centre,Provost,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Provost, AB","Provost, AB, Canada",1945
Population centre,Raymond,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Raymond, AB","Raymond, AB, Canada",3533
Population centre,Red Deer,"Medium population centre (30,000 to 99,999)",Core,Alberta,AB,"Red Deer, AB","Red Deer, AB, Canada",99718
Population centre,Redcliff,"Small population centre (1,000 to 29,999)",Fringe,Alberta,AB,"Redcliff, AB","Redcliff, AB, Canada",5474
Population centre,Redwater,"Small population centre (1,000 to 29,999)",Fringe,Alberta,AB,"Redwater, AB","Redwater, AB, Canada",1591
Population centre,Rimbey,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Rimbey, AB","Rimbey, AB, Canada",2086
Population centre,Rocky Mountain House,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Rocky Mountain House, AB","Rocky Mountain House, AB, Canada",6429
Population centre,Sexsmith,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Sexsmith, AB","Sexsmith, AB, Canada",2461
Population centre,Slave Lake,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Slave Lake, AB","Slave Lake, AB, Canada",6155
Population centre,Springbrook,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Springbrook, AB","Springbrook, AB, Canada",1502
Population centre,Spruce Grove,"Medium population centre (30,000 to 99,999)",Secondary core,Alberta,AB,"Spruce Grove, AB","Spruce Grove, AB, Canada",36135
Population centre,St. Paul,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"St. Paul, AB","St. Paul, AB, Canada",5728
Population centre,Stettler,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Stettler, AB","Stettler, AB, Canada",5862
Population centre,Stony Plain,"Small population centre (1,000 to 29,999)",Secondary core,Alberta,AB,"Stony Plain, AB","Stony Plain, AB, Canada",16271
Population centre,Strathmore,"Small population centre (1,000 to 29,999)",Core,Alberta,AB,"Strathmore, AB","Strathmore, AB, Canada",13592
Population centre,Sundre,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Sundre, AB","Sundre, AB, Canada",1866
Population centre,Swan Hills,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Swan Hills, AB","Swan Hills, AB, Canada",1275
Population centre,Sylvan Lake,"Small population centre (1,000 to 29,999)",Core,Alberta,AB,"Sylvan Lake, AB","Sylvan Lake, AB, Canada",14942
Population centre,Taber,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Taber, AB","Taber, AB, Canada",8548
Population centre,Three Hills,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Three Hills, AB","Three Hills, AB, Canada",3078
Population centre,Tofield,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Tofield, AB","Tofield, AB, Canada",1854
Population centre,Trochu,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Trochu, AB","Trochu, AB, Canada",1058
Population centre,Turner Valley,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Turner Valley, AB","Turner Valley, AB, Canada",2249
Population centre,Two Hills,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Two Hills, AB","Two Hills, AB, Canada",1198
Population centre,Valleyview,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Valleyview, AB","Valleyview, AB, Canada",1421
Population centre,Vauxhall,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Vauxhall, AB","Vauxhall, AB, Canada",1222
Population centre,Vegreville,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Vegreville, AB","Vegreville, AB, Canada",5436
Population centre,Vermilion,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Vermilion, AB","Vermilion, AB, Canada",3617
Population centre,Viking,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Viking, AB","Viking, AB, Canada",1039
Population centre,Vulcan,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Vulcan, AB","Vulcan, AB, Canada",1680
Population centre,Wainwright,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Wainwright, AB","Wainwright, AB, Canada",6153
Population centre,Wembley,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Wembley, AB","Wembley, AB, Canada",1516
Population centre,Westlake,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Westlake, AB","Westlake, AB, Canada",1363
Population centre,Westlock,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Westlock, AB","Westlock, AB, Canada",4678
Population centre,Wetaskiwin,"Small population centre (1,000 to 29,999)",Core,Alberta,AB,"Wetaskiwin, AB","Wetaskiwin, AB, Canada",12486
Population centre,Whitecourt,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Whitecourt, AB","Whitecourt, AB, Canada",9515
Population centre,Lloydminster,"Medium population centre (30,000 to 99,999)",Core,Alberta,AB,"Lloydminster, AB","Lloydminster, AB, Canada",31400
Population centre,Lloydminster,"Medium population centre (30,000 to 99,999)",Core,Saskatchewan,SK,"Lloydminster, SK","Lloydminster, SK, Canada",31400
Population centre,Abbotsford,"Large urban population centre (100,000 or more)",Core,British Columbia,BC,"Abbotsford, BC","Abbotsford, BC, Canada",121279
Population centre,Aldergrove,"Small population centre (1,000 to 29,999)",Fringe,British Columbia,BC,"Aldergrove, BC","Aldergrove, BC, Canada",12007
Population centre,Aldergrove East,"Small population centre (1,000 to 29,999)",Fringe,British Columbia,BC,"Aldergrove East, BC","Aldergrove East, BC, Canada",3491
Population centre,Armstrong,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Armstrong, BC","Armstrong, BC, Canada",5114
Population centre,Ashcroft,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Ashcroft, BC","Ashcroft, BC, Canada",1084
Population centre,Blind Bay,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Blind Bay, BC","Blind Bay, BC, Canada",1976
Population centre,Burns Lake,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Burns Lake, BC","Burns Lake, BC, Canada",1932
Population centre,Campbell River,"Medium population centre (30,000 to 99,999)",Core,British Columbia,BC,"Campbell River, BC","Campbell River, BC, Canada",35138
Population centre,Canoe,"Small population centre (1,000 to 29,999)",Fringe,British Columbia,BC,"Canoe, BC","Canoe, BC, Canada",1081
Population centre,Castlegar,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Castlegar, BC","Castlegar, BC, Canada",9023
Population centre,Cedar,"Small population centre (1,000 to 29,999)",Fringe,British Columbia,BC,"Cedar, BC","Cedar, BC, Canada",1674
Population centre,Chase,"Small population centre (1,000 to 29,999)",Fringe,British Columbia,BC,"Chase, BC","Chase, BC, Canada",2263
Population centre,Chemainus,"Small population centre (1,000 to 29,999)",Fringe,British Columbia,BC,"Chemainus, BC","Chemainus, BC, Canada",3021
Population centre,Chilliwack,"Medium population centre (30,000 to 99,999)",Core,British Columbia,BC,"Chilliwack, BC","Chilliwack, BC, Canada",73161
Population centre,Cobble Hill,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Cobble Hill, BC","Cobble Hill, BC, Canada",3580
Population centre,Courtenay,"Medium population centre (30,000 to 99,999)",Core,British Columbia,BC,"Courtenay, BC","Courtenay, BC, Canada",45018
Population centre,Cowichan Bay,"Small population centre (1,000 to 29,999)",Fringe,British Columbia,BC,"Cowichan Bay, BC","Cowichan Bay, BC, Canada",2394
Population centre,Cranbrook,"Small population centre (1,000 to 29,999)",Core,British Columbia,BC,"Cranbrook, BC","Cranbrook, BC, Canada",19259
Population centre,Creston,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Creston, BC","Creston, BC, Canada",5226
Population centre,Crofton,"Small population centre (1,000 to 29,999)",Fringe,British Columbia,BC,"Crofton, BC","Crofton, BC, Canada",1373
Population centre,Cultus Lake,"Small population centre (1,000 to 29,999)",Fringe,British Columbia,BC,"Cultus Lake, BC","Cultus Lake, BC, Canada",1053
Population centre,Cumberland,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Cumberland, BC","Cumberland, BC, Canada",3600
Population centre,Dallas,"Small population centre (1,000 to 29,999)",Fringe,British Columbia,BC,"Dallas, BC","Dallas, BC, Canada",4479
Population centre,Dawson Creek,"Small population centre (1,000 to 29,999)",Core,British Columbia,BC,"Dawson Creek, BC","Dawson Creek, BC, Canada",11574
Population centre,Duck Lake,"Small population centre (1,000 to 29,999)",Fringe,British Columbia,BC,"Duck Lake, BC","Duck Lake, BC, Canada",6982
Population centre,Duncan,"Small population centre (1,000 to 29,999)",Core,British Columbia,BC,"Duncan, BC","Duncan, BC, Canada",23278
Population centre,Elkford,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Elkford, BC","Elkford, BC, Canada",1752
Population centre,Enderby,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Enderby, BC","Enderby, BC, Canada",2964
Population centre,Fairwinds,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Fairwinds, BC","Fairwinds, BC, Canada",1147
Population centre,Fernie,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Fernie, BC","Fernie, BC, Canada",4850
Population centre,Fort Nelson,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Fort Nelson, BC","Fort Nelson, BC, Canada",3366
Population centre,Fort St. James,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Fort St. James, BC","Fort St. James, BC, Canada",1510
Population centre,Fort St. John,"Small population centre (1,000 to 29,999)",Core,British Columbia,BC,"Fort St. John, BC","Fort St. John, BC, Canada",19897
Population centre,Gibsons,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Gibsons, BC","Gibsons, BC, Canada",9132
Population centre,Golden,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Golden, BC","Golden, BC, Canada",3240
Population centre,Grand Forks,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Grand Forks, BC","Grand Forks, BC, Canada",3953
Population centre,Harrison Hot Springs,"Small population centre (1,000 to 29,999)",Fringe,British Columbia,BC,"Harrison Hot Springs, BC","Harrison Hot Springs, BC, Canada",1242
Population centre,Hope,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Hope, BC","Hope, BC, Canada",4067
Population centre,Houston,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Houston, BC","Houston, BC, Canada",2126
Population centre,Invermere,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Invermere, BC","Invermere, BC, Canada",2882
Population centre,Kamloops,"Medium population centre (30,000 to 99,999)",Core,British Columbia,BC,"Kamloops, BC","Kamloops, BC, Canada",78026
Population centre,Kelowna,"Large urban population centre (100,000 or more)",Core,British Columbia,BC,"Kelowna, BC","Kelowna, BC, Canada",151957
Population centre,Kent,"Small population centre (1,000 to 29,999)",Fringe,British Columbia,BC,"Kent, BC","Kent, BC, Canada",3802
Population centre,Keremeos,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Keremeos, BC","Keremeos, BC, Canada",1714
Population centre,Kimberley,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Kimberley, BC","Kimberley, BC, Canada",4513
Population centre,Kitimat,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Kitimat, BC","Kitimat, BC, Canada",6394
Population centre,Ladner,"Small population centre (1,000 to 29,999)",Fringe,British Columbia,BC,"Ladner, BC","Ladner, BC, Canada",22193
Population centre,Ladysmith,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Ladysmith, BC","Ladysmith, BC, Canada",10637
Population centre,Lake Cowichan,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,BC,"Lake Cowichan, BC","Lake Cowichan, BC, Canada",3013
