Incident ID,Article URL,Incident Description,Incident Date,Province,City or Region,Detailed Location,Incident Category,Gender of Victim(s),Name of Victim(s),Ethnic Community,Black/African/Caribbean,Central Asian,East Asian,Indigenous,Latin American,Middle Eastern,South Asian,Southeast Asian,Identity-Based,Context,Type of Incident,Notes
13,http://www.cbc.ca/news/canada/calgary/nimra-amjat-racist-death-threats-school-trustee-charges-police-1.4510339,Failed school trustee candidate who claimed to be victim of racist death threats charged under Election Act,2018-01-30,Alberta,Calgary,,Criminal: Unknown,,,Middle Eastern,,,,,,,,,Religious discrimination: Anti-Semitism,Educational institute: Other,,
14,http://nationalpost.com/news/canada/scared-how-bad-it-could-get-racial-tension-hangs-over-sask-as-trial-for-farmer-who-allegedly-killed-indigenous-man-approaches,Racial tension hangs over Sask. as trial for farmer who allegedly killed Indigenous man looms,2018-01-26,Saskatchewan,,,Non-Criminal,,,Indigenous,,,,First Nations,,,,,,,Hate speech: Other,
15,http://www.cbc.ca/news/canada/montreal/crarr-charges-breathalyzer-1.4519263,"Man charged for refusing breathalyzer test, claims Montreal police racially profiled him",2018-02-04,Quebec,Montreal,,Criminal: Unknown,,,Black/African/Caribbean,Somalia,,,,,,,,Religious discrimination: Anti-Hinduism,Online: Other,,
16,http://www.cbc.ca/news/canada/sudbury/timmins-indigenous-deaths-police-investigation-1.4524090,Timmins mayor calls out 'racist' and anti-police comments following weekend deaths,2018-02-07,Ontario,Timmins,,Non-Criminal,,,Indigenous,,,,,,,,,,,,
17,http://leaderpost.com/news/local-news/afn-chief-perry-bellegarde-calls-for-national-strategy-to-address-racism-following-stanley-verdict,AFN Chief Perry Bellegarde calls for national strategy to address racism following Stanley verdict,2018-02-09,Saskatchewan,Regina,,Criminal: Unknown,Male,,Indigenous,,,,,,,,,,,,
18,http://www.cbc.ca/news/canada/toronto/white-high-school-teacher-do-rag-black-history-month-ajax-1.4527186,"Student, mother 'shocked' after white teacher wears do-rag for Black History Month school event",2018-02-08,Ontario,Ajax ,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,,Educational institute: Other,,
19,https://www.thestar.com/news/crime/2018/02/13/police-investigate-after-leuty-lifeguard-station-in-the-beach-is-tagged.html,"Police investigate after Beach landmark tagged with anti-Semitic, anti-Black graffiti",2018-02-13,Ontario,Toronto,,Criminal: Unknown,,,Black/African/Caribbean,,,,,,,,,Religious discrimination: Anti-Semitism,,Vandalism,
20,https://www.stalbertgazette.com/article/colten-boushies-murder-reminder-racism-canada-20180214,Reaction to Boushie case a reminder of racism in Canada,2018-02-06,Saskatchewan,,,Criminal: Unknown,,,Indigenous,,,,Inuit,,,,,Sexism,Educational institute: Post-secondary,Hate speech: Other,
21,https://montreal.ctvnews.ca/boushie-case-looms-large-over-indigenous-hearings-in-montreal-1.3799503,Boushie case looms large over indigenous hearings in Montreal,2018-02-12,Quebec,Montreal,,Criminal: Unknown,,,Indigenous,,,,First Nations,,,,,Religious discrimination: Anti-Hinduism,,Vandalism,
22,http://aptnnews.ca/2018/02/15/rcmp-facebook-group-claims-colten-boushie-got-deserved/,RCMP Facebook group claims Colten Boushie ‘got what he deserved’,2018-02-15,,,,Non-Criminal,Male,,Indigenous,,,,First Nations,,,,,Religious discrimination: Other,Online: Social media,Hate speech: Other,
23,https://www.cbc.ca/news/canada/new-brunswick/timothy-christie-philosophy-unb-discrimination-1.4539460,"Longtime UNB lecturer alleges racism after being passed over for job
Social Sharing",2018-02-20,New Brunswick,,,Non-Criminal,,,Black/African/Caribbean,Somalia,,,,,,,,,,,
24,http://ottawacitizen.com/news/local-news/anti-immigration-groups-at-parliament-hill-protest-demand-apology-from-trudeau,Anti-immigration groups at Parliament Hill protest demand apology from Trudeau,2018-02-19,Ontario,Ottawa,,Non-Criminal,,,"Black/African/Caribbean, Indigenous",Ethiopia,,,,,,,,"Religious discrimination: Islamophobia, Xenophobia",,,
25,https://www.cbc.ca/news/canada/newfoundland-labrador/polar-bear-photo-outrage-pelt-1.4536807,"Photo of legally hunted polar bear draws social media outrage, racist comments
Social Sharing",2018-02-15,Newfoundland and Labrador,Labrador,,Non-Criminal,,,Indigenous,,,,,,,,,,Online: Social media,,
26,https://www.theglobeandmail.com/opinion/as-abdoul-abdis-parent-canada-is-guilty-of-child-neglect/article38000645/,"As Abdoul Abdi’s parent, Canada is guilty of child neglect",2018-02-15,Ontario,Ottawa,,Non-Criminal,,,"Black/African/Caribbean, Indigenous",Djibouti,,,Inuit,,,,,,Sports: Other,Hate speech: Imagery,
27,http://www.cbc.ca/news/canada/edmonton/fort-mcmurray-islamic-centre-graffiti-1.4534316,Sign outside Fort McMurray Islamic centre defaced,2018-02-14,Alberta,Fort McMurray,Fort McMurray Islamic Centre,Criminal: Unknown,,,Southeast Asian,,,,,,,,,Religious discrimination: Islamophobia,,Vandalism,
28,http://www.cbc.ca/news/canada/nova-scotia/dalhousie-university-racist-graffiti-halifax-police-1.4551259,Dal president responds to 'abhorrent' racist graffiti found on campus,2018-02-23,Nova Scotia,Halifax,,Non-Criminal,"Female, Male",,Black/African/Caribbean,Tanzania,,,,,,,,,,Vandalism,
29,https://montreal.ctvnews.ca/montreal-s-b-nai-brith-office-targeted-in-anti-semitic-letter-1.3817371,Montreal's B'nai Brith office targeted in anti-semitic letter,2018-02-23,Quebec,Montreal,,Non-Criminal,Female,,Black/African/Caribbean,Bermuda,,,,,,,,Religious discrimination: Anti-Semitism,Protective services: Other,Hate speech: Letter/flyer,
30,https://www.thestar.com/news/gta/2018/02/24/u-of-t-student-group-says-racial-violence-and-harassment-a-health-and-safety-issue.html,U of T student group says racial violence and harassment a health and safety issue,2018-02-24,Ontario,Toronto,,Non-Criminal,"Female, Male",,South Asian,,,,,,,Pakistan,,"Religious discrimination: Islamophobia, Xenophobia",Public space,,
31,https://www.ctvnews.ca/politics/feds-move-to-settle-sexual-misconduct-racism-lawsuits-against-canadian-forces-1.3816231,"Feds move to settle sexual misconduct, racism lawsuits against Canadian Forces",2018-02-23,Ontario,Ottawa,,Criminal: Not charged,,,Central Asian,,,,,,,,,"Religious discrimination: Anti-Semitism, Religious discrimination: Islamophobia",Protective services: Military,,
32,https://www.thestar.com/news/canada/2018/02/22/deliberations-continue-in-murder-trial-for-raymond-cormier-accused-of-killing-of-tina-fontaine.html,Raymond Cormier found not guilty in death of Tina Fontaine,2018-02-22,Manitoba,Winnipeg,,Criminal: Unknown,Female,,Indigenous,,,,First Nations,,,,,,,,
33,https://www.thestar.com/opinion/star-columnists/2018/02/26/how-anti-racism-town-hall-gave-hate-mongers-an-outsized-place-at-the-table.html,How anti-racism town hall gave hate-mongers an outsized place at the table,2018-02-26,Ontario,Toronto,,Non-Criminal,Other/Unknown,,East Asian,,,,,,,,,,,,
34,https://www.cbc.ca/news/canada/thunder-bay/thunder-bay-egg-throwing-investigation-1.4555840,Thunder Bay police investigate alleged racial violence after eggs thrown at pedestrians,2019-02-28,Ontario,Thunder Bay,,Criminal: Unknown,"Female, Male",,Indigenous,,,,First Nations,,,,,,Sports: Hockey,,
35,https://www.cbc.ca/news/canada/thunder-bay/national-assembly-apology-request-1.4557947,Thunder Bay newspaper apologizes for 'inconsiderate' headline on story about egg attacks on 2 men,2018-03-02,Ontario,Thunder Bay,,Non-Criminal,,,Indigenous,,,,First Nations,,,,,,,Hate speech: Imagery,
36,http://torontosun.com/news/local-news/toronto-nightclub-accused-of-racism-for-stir-fry-event,Toronto nightclub accused of racism for 'Stir Fry' event,2018-03-06,Ontario,Toronto,,Non-Criminal,Male,,Indigenous,,,,First Nations,,,,,Religious discrimination: Anti-Sikhism,Online: Social media,,
37,http://www.cbc.ca/news/canada/british-columbia/racism-campaign-school-district-74-1.4566779,Got privilege?' B.C. school district under fire after launching anti-racism campaign,2018-03-08,British Columbia,,,Non-Criminal,"Female, Male",,South Asian,,,,,,,Bangladesh,,,Educational institute: Other,,
38,http://www.cbc.ca/news/canada/nova-scotia/racism-school-black-students-name-calling-education-diversity-1.4564057,"Often called the N-word at school, this Nova Scotia student seeks to rid classroom of racism",2018-03-07,Nova Scotia,,,Non-Criminal,"Female, Male",,Black/African/Caribbean,Nigeria,,,,,,,,,Educational institute: Other,Harassment: Racial profiling,
39,https://www.cbc.ca/news/business/air-canada-human-rights-complaint-attendants-1.4568517,"Air Canada’s Flight Attendant Union Files Human RIghts Complaint, alleging sexual, racial discrimination",2019-03-08,Ontario,Ottawa,,Non-Criminal,"Female, Male",,South Asian,,,,,,,,,Anti-2SLGBTQIA+,Educational institute: K-12,,
40,https://www.thestar.com/news/canada/2018/03/07/crown-says-it-wont-appeal-acquittal-in-saskatchewan-shooting-of-colten-boushie.html,Crown says it won’t appeal acquittal in Saskatchewan shooting of Colten Boushie,2018-03-07,Ontario,Ottawa,,Criminal: Charged,,,Indigenous,,,,First Nations,,,,,,Transit,Hate speech: Rally/protest,
41,http://www.cbc.ca/news/canada/nova-scotia/antigonish-school-graffiti-1.4565502,"First Nations students to stay home after racist graffiti, threats against school",2018-03-07,Nova Scotia,,,Criminal: Unknown,Female,,Indigenous,,,,Métis,,,,,Religious discrimination: Islamophobia,Educational institute: Other,Vandalism,
42,https://www.reddeeradvocate.com/news/ontario-paper-apologizes-after-afn-calls-headline-on-egg-attacks-insensitive/,Ontario paper apologizes after AFN calls headline on egg attacks ‘insensitive’,2018-03-03,Ontario,Thunder Bay,,Non-Criminal,Male,,Indigenous,,,,First Nations,,,,,,,,
43,https://www.saobserver.net/news/b-c-school-assignment-deemed-racist-on-social-media/,B.C. school assignment deemed racist on social media,2018-03-02,British Columbia,Kelowna,,Non-Criminal,,,Indigenous,,,,,,,,,,"Educational institute: Other, Online: Social media",,
44,http://www.cbc.ca/news/canada/british-columbia/minor-hockey-racism-1.4558136,Racism crosses the line': Hockey mom raises alarm after son called N-word on ice,2018-03-01,British Columbia,Kamloops,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,,Sports: Hockey,,
45,http://torontosun.com/news/local-news/warmington-two-sides-to-traffic-stop-of-tv-host-marci-ien,WARMINGTON: Two sides to traffic stop of TV host Marci Ien,2018-03-02,Ontario,Toronto,,Non-Criminal,Female,,Black/African/Caribbean,,,,,,,,,,Protective services: Police,,
46,http://www.cbc.ca/news/canada/manitoba/mom-speaks-out-says-racist-kids-bullied-family-1.4571816?cmp=rss,Indigenous mom of 2 says racist taunts aimed at her family during kids' 1st trip to Winnipeg,2018-03-13,Manitoba,Winnipeg,,Non-Criminal,,,Indigenous,,,,,,,,,,Workplace,,
47,https://www.thestar.com/news/canada/2018/03/23/black-janitors-allege-racial-discrimination-plan-to-file-human-rights-complaint.html,"Black janitors allege racial discrimination, plan to file human rights complaint",2018-03-24,Ontario,Toronto,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,,Workplace,Vandalism,
48,http://www.voiceonline.com/wsos-open-letter-to-postmedia-ceo-paul-godfrey-on-coverage-of-sikh-canadians/,WSO’s open letter to Postmedia CEO Paul Godfrey on coverage of Sikh Canadians,2018-03-24,Ontario,Ottawa,,Non-Criminal,,,Latin American,,,,,Mexico,,,,Religious discrimination: Anti-Sikhism,Sports: Basketball,Harassment: Racial profiling,
49,http://www.cbc.ca/news/canada/toronto/rock-smashed-vaughan-synagogue-hate-1.4587969,Police search for suspect after Vaughan synagogue doors smashed in 'hate-motivated' crime,2018-03-22,Ontario,Vaughan,,Criminal: Unknown,"Female, Male",,South Asian,,,,,,,Bhutan,,Religious discrimination: Anti-Semitism,,Vandalism,
50,http://www.cbc.ca/news/canada/prince-edward-island/pei-john-joe-sark-wayne-easter-amherst-1.4574422,Mi'kmaq elder wants apology from MP over comments made in recent meeting,2018-03-13,Prince Edward Island,,,Non-Criminal,,,Indigenous,,,,First Nations,,,,,Anti-2SLGBTQIA+,,,
51,http://www.cbc.ca/news/canada/saskatchewan/sask-professor-threats-whiteness-talk-1.4571723,Sask. professor receives threats over upcoming talk on 'whiteness' at Ontario university,2018-03-11,Saskatchewan,Regina,,Non-Criminal,Other/Unknown,,East Asian,,,Japan,,,,,,Sexism,Educational institute: Post-secondary,,
52,http://www.cbc.ca/news/canada/ottawa/khoa-hoang-racial-discrimination-complaint-ottawa-police-1.4602578,Ottawa police officer alleges racial discrimination,2018-03-03,Ontario,Ottawa,,Criminal: Not charged,,,Latin American,,,,,Mexico,,,,"Religious discrimination: Anti-Semitism, Religious discrimination: Islamophobia",Protective services: Military,Harassment: Racial profiling,
53,https://www.cbc.ca/news/canada/ottawa/man-assaulted-turban-stolen-westgate-mall-1.4594895,"Man's turban torn off in weekend attack, police say",2018-03-27,Ontario,Ottawa,,Criminal: Not charged,Other/Unknown,,East Asian,,,,,,,,,Religious discrimination: Anti-Sikhism,,,
54,http://www.worldbulletin.net/america-canada/200581/canadian-churches-vandalized-on-easter-sunday,Canadian churches vandalized on Easter Sunday,2018-04-02,Nova Scotia,Halifax,,Non-Criminal,Female,,Black/African/Caribbean,,,,,,,,,Anti-2SLGBTQIA+,,Vandalism,
55,http://www.cbc.ca/news/canada/ottawa/racist-graffiti-gatineau-bus-shelter-swastika-1.4601290,Gatineau police investigate racist graffiti scrawled on bus shelter,2018-03-31,Quebec,Gatineau,,Non-Criminal,Female,,Black/African/Caribbean,,,,,,,,,Religious discrimination: Anti-Semitism,Transit,Vandalism,
56,https://thegrio.com/2018/03/29/black-woman-politician-canada-racist/,"Conservative Canadian media attack Black woman politician, accuse her of being racist",2018-03-28,Ontario,Ottawa,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,,Protective services: Peace officers,Hate speech: Rally/protest,
57,http://www.cbc.ca/news/canada/north/tourism-ad-casting-call-racist-yukon-1.4595987,Government casting ad requesting 'Caucasian' actors deemed racist by some Yukoners,2018-03-27,Yukon,,,Non-Criminal,,,Indigenous,,,,,,,,,,,,
58,https://www.insauga.com/police-called-to-investigate-potential-hate-fuelled-incident-in-mississauga,Police Called to Investigate Potential Hate-Fuelled Incident in Mississauga,2018-03-26,Ontario,Mississauga,,Criminal: Unknown,,,Central Asian,,,,,,,,,Religious discrimination: Islamophobia,,,
59,https://www.huffingtonpost.ca/2018/03/26/black-janitors-fired-racism-human-rights-complaint_a_23395862/,Black Janitors Were Fired For Complaining About Alleged Racism: Union,2018-02-26,Nova Scotia,Halifax,,Criminal: Charged,,,Black/African/Caribbean,Eritrea,,,,,,,,,,,
60,http://www.cbc.ca/news/canada/edmonton/alberta-health-services-treaty-indian-letter-edmonton-1.4606328,"Letter to 'Treaty Indian' a data-entry error, Alberta Health Services says",2018-04-05,Alberta,Edmonton,,Non-Criminal,,,Indigenous,,,,First Nations,,,,,,Healthcare/public health,Harassment: Other,
61,https://www.thestar.com/news/canada/2018/04/11/celebrated-indigenous-law-school-dean-resigns-claiming-systemic-racism.html,Celebrated Indigenous law school dean resigns claiming systemic racism,2018-04-11,Ontario,Thunder Bay,,Non-Criminal,,,Indigenous,,,,First Nations,,,,,,Educational institute: Post-secondary,Harassment: Racial profiling,
62,http://www.cbc.ca/news/canada/hamilton/ndp-miller-allegations-1.4615621,NDP employee says Hamilton MPP bullied him and made racist comments,2018-04-11,Ontario,,,Criminal: Unknown,Male,,Black/African/Caribbean,,,,,,,,,,,Harassment: Racial profiling,
63,http://www.cbc.ca/news/canada/toronto/tanya-granic-allen-under-fire-for-online-comments-against-gay-marriage-muslim-dress-1.4613483,"Tanya Granic Allen under fire for online comments against gay marriage, Muslim dress",2018-04-10,Ontario,Toronto,,Non-Criminal,,,Southeast Asian,,,,,,,,Indonesia,Religious discrimination: Islamophobia,Online: Other,Hate speech: Letter/flyer,
64,http://www.bayshorebroadcasting.ca/news_item.php?NewsID=100856,Police Probe Racist Graffiti.,2018-04-10,Ontario,Owen Sound,,Criminal: Unknown,,,"Black/African/Caribbean, Indigenous",Niger,,,Métis,,,,,Anti-2SLGBTQIA+,,Vandalism,
65,http://www.cbc.ca/news/canada/calgary/sikh-assault-calgary-obhrai-1.4608993,"Alleged assault of 89-year-old Sikh was hate crime, says Calgary MP",2018-04-06,Alberta,Calgary,,Criminal: Unknown,,,"South Asian, Southeast Asian",,,,,,,Pakistan,Brunei,Religious discrimination: Anti-Sikhism,Educational institute: K-12,Hate speech: Imagery,
66,https://www.theglobeandmail.com/politics/article-iranians-accuse-ottawa-of-discrimination-as-permanent-residency/,Iranians accuse Ottawa of discrimination as permanent-residency applications face delays,2018-04-09,Ontario,Ottawa,,Non-Criminal,,,Central Asian,,Iran,,,,,,,Religious discrimination: Islamophobia,Educational institute: K-12,Hate speech: Other,
67,https://www.thestar.com/news/canada/2018/04/18/nova-scotia-tory-mla-apologizes-for-comments-slammed-as-racist-and-insensitive.html,Nova Scotia Tory MLA apologizes for comments slammed as ‘racist and insensitive’,2018-04-18,Nova Scotia,Halifax,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,,,Other,
68,http://www.cbc.ca/news/canada/windsor/south-west-detention-centre-racism-harassment-correctional-officers-1.4623070,"Racism, harassment rampant at South West Detention Centre, allege former correctional officers",2018-04-19,Ontario,Windsor,South West Detention Centre,Criminal: Charged,Male,,South Asian,,,,,,,India,,Religious discrimination: Islamophobia,,,
69,https://winnipeg.ctvnews.ca/this-cannot-be-happening-in-canada-man-whose-dash-cam-captured-technicians-mocking-his-chinese-name-1.3891342,"This cannot be happening in Canada': man whose dash-cam captured technicians mocking his Chinese name
Car owner ups",2018-04-18,Manitoba,Winnipeg,,Non-Criminal,Male,,Indigenous,,,,First Nations,,,,,Religious discrimination: Anti-Hinduism,Online: Social media,,
70,http://www.cbc.ca/news/canada/manitoba/winnipeg-delivery-driver-confronts-customer-he-says-called-him-a-terrorist-during-verbal-attack-1.4623747,Winnipeg delivery driver confronts customer he says called him a terrorist during verbal attack,2018-04-18,Manitoba,Winnipeg,,Non-Criminal,,,Latin American,,,,,Brazil,,,,Religious discrimination: Islamophobia,,,
71,http://www.cbc.ca/news/canada/nova-scotia/goalie-who-was-victim-of-racial-slur-gets-lots-of-support-1.4622793,"Goalie who was victim of racial slur gets support from NHL player, government",2018-04-17,Nova Scotia,Halifax,,Non-Criminal,,,Black/African/Caribbean,Ethiopia,,,,,,,,,,Hate speech: Letter/flyer,
72,http://www.cbc.ca/news/canada/edmonton/edmonton-police-officer-faces-disciplinary-hearing-over-allegations-of-racism-punching-suspect-1.4620988,Edmonton police Const. Nathan Downing faces allegations at an upcoming disciplinary hearing of repeatedly punching a handcuffed man in the face and shouting racial slurs at him.,2018-04-16,Alberta,Edmonton,,Criminal: Not charged,,,"Black/African/Caribbean, Indigenous",Liberia,,,First Nations,,,,,Religious discrimination: Islamophobia,,,
73,http://nationalpost.com/news/politics/harjit-sajjan-orders-crackdown-as-canadian-forces-facebook-page-features-racist-vulgar-comments,"Harjit Sajjan orders crackdown as Canadian Forces Facebook page features racist, vulgar comments",2018-04-14,Ontario,Ottawa,,Non-Criminal,"Female, Male",,South Asian,,,,,,,,,,Online: Social media,,
74,https://calgary.ctvnews.ca/dozens-of-people-take-part-in-rally-on-steps-of-calgary-city-hall-1.3885445,Dozens of people take part in rally on steps of Calgary City Hall,2018-04-14,Alberta,Calgary,,Non-Criminal,,,Middle Eastern,,,,,,Iraq,,,Xenophobia,Sports: Football,,
75,https://www.theglobeandmail.com/canada/article-montreal-couple-preparing-human-rights-complaint-alleging-racial/,"Montreal couple preparing human-rights complaint, alleging racial profiling in noise incident",2018-04-22,Quebec,Montreal,,Criminal: Charged,,,Black/African/Caribbean,Somalia,,,,,,,,"Religious discrimination: Anti-Semitism, Religious discrimination: Islamophobia",Healthcare/public health,,
76,https://www.thespec.com/opinion-story/8593347-oma-decision-about-privilege-and-racism/,"OMA decision about privilege and racism
Doctors reject the chance to show respect for Indigenous culture, Dr. Nel Wieman writes",2018-04-28,Ontario,Ottawa,,Non-Criminal,,,Indigenous,,,,Inuit,,,,,,,Harassment: Carding,
77,https://www.bet.com/news/national/2018/05/04/black-woman-humiliated-after-air-canada-kicked-her-off-flight-fo.html,"A Black woman from Edmonton, Canada, is blaming systemic racism for the way she was forced off of a flight for having a noncontagious illness",2018-05-04,Nova Scotia,Halifax,,Non-Criminal,Other/Unknown,,Black/African/Caribbean,Sierra Leone,,,,,,,,,,Harassment: Carding,
78,http://business.financialpost.com/news/retail-marketing/starbucks-canada-to-provide-inclusiveness-training-for-corporate-stores-offices,Starbucks Canada to close corporate stores for a few hours on June 11 for inclusiveness training,2018-05-04,Ontario,Ottawa,,Non-Criminal,,,"Central Asian, Middle Eastern",,,,,,Libya,,,,,Vandalism,
79,https://www.theglobeandmail.com/politics/article-first-nations-chiefs-want-un-to-examine-racism-in-canadas-justice/,First Nations chiefs want UN to examine racism in Canada’s justice system,2018-05-02,Ontario,Ottawa,,Non-Criminal,Female,,Indigenous,,,,,,,,,Sexism,,,
80,https://www.theglobeandmail.com/canada/article-comedy-duo-apologizes-for-joke-criticized-as-racist-at-humboldt/,U.S. comedy duo apologizes for joke criticized as racist at Humboldt Broncos tribute concert,2018-04-29,Saskatchewan,Saskatoon,,Non-Criminal,"Female, Male",,Indigenous,,,,,,,,,Sexism,,,
81,https://www.ctvnews.ca/canada/three-teens-charged-after-racist-graffiti-found-in-ottawa-neighborhood-1.3907655,Three teens charged after racist graffiti found in Ottawa neighborhood,2018-04-29,Ontario,Ottawa,,Criminal: Unknown,,,Black/African/Caribbean,Guadeloupe,,,,,,,,Religious discrimination: Anti-Semitism,Educational institute: Post-secondary,Vandalism,
82,https://herb.co/marijuana/news/smith-mccrossin-jamaica-nova-scotia-cannabis,Conservative Party member worries weed will make Canadians as unproductive as ‘Jamaica’ later issues apology stating she is not as knowledgeable about racism as she should be.,2018-04-28,Nova Scotia,,,Non-Criminal,,,Black/African/Caribbean,Jamaica,,,,,,,,"Religious discrimination: Anti-Semitism, Religious discrimination: Islamophobia",Educational institute: Post-secondary,Hate speech: Other,
83,http://www.cbc.ca/news/canada/montreal/black-woman-given-444-ticket-for-excessive-noise-accuses-montreal-police-of-racial-profiling-1.4630259,"Montreal couple ticketed $888 for 'excessive noise,' accuses Montreal police of racial profiling",2018-04-21,Quebec,Montreal,,Criminal: Charged,,,Black/African/Caribbean,Nigeria,,,,,,,,,Protective services: Police,,
84,http://www.cbc.ca/news/canada/montreal/judge-awards-50k-to-couple-who-suffered-extreme-racial-harassment-from-neighbour-1.4630511,Judge awards $50K to couple who suffered 'extreme' racial harassment from neighbour,2018-04-22,Quebec,Montreal,,Criminal: Unknown,,,Southeast Asian,,,,,,,,Vietnam,Religious discrimination: Islamophobia,,,
85,http://www.palestinechronicle.com/ontario-anti-racism-subcommittee-include-individuals-tied-racist-organization/,Why Does Ontario Anti-Racism Subcommittee Include Individuals Tied to Racist Organization?,2018-04-20,Ontario,,,Non-Criminal,,,"Central Asian, Middle Eastern",,Afghanistan,,,,Iraq,,,Religious discrimination: Anti-Hinduism,,,
86,https://www.vice.com/en_ca/article/nekjyq/watch-these-men-calmly-respond-to-womans-racist-tirade-at-an-alberta-dennys,Watch These Men Calmly Respond to Woman’s Racist Tirade at an Alberta Denny’s,2018-05-04,Alberta,Lethbridge,,Non-Criminal,,,Southeast Asian,,,,,,,,,Xenophobia,,Hate speech: Other,
87,https://www.ctvnews.ca/sports/canada-s-top-ranked-female-tennis-player-blames-racism-for-relative-obscurity-1.3934928,Canada's top-ranked female tennis player blames racism for relative obscurity,2018-05-17,Ontario,Ottawa,,Non-Criminal,,,Black/African/Caribbean,Nigeria,,,,,,,,,,Harassment: Racial profiling,
